Date,X_1,X_2,X_3
2/11/2021,65.12,3916.38,23.25
2/12/2021,62.96,3934.83,22.45
2/16/2021,63.64,3932.59,22.46
2/17/2021,62.32,3931.33,23.44
2/18/2021,62.64,3913.97,24.23
2/19/2021,60.4,3906.71,23.19
2/22/2021,62.92,3876.5,25.09
2/23/2021,60.32,3881.37,27.01
2/24/2021,57.92,3925.43,25.04
2/25/2021,67.16,3829.34,31.16
2/26/2021,64.12,3811.15,30.82
3/1/2021,59.36,3901.82,25.39
3/2/2021,59.88,3870.29,24.6
3/3/2021,62.44,3819.72,26.79
3/4/2021,65.08,3768.47,31.9
3/5/2021,60.48,3841.94,30.03
3/8/2021,61.56,3821.35,28.39
3/9/2021,59.08,3875.44,25.25
3/10/2021,58.32,3898.81,23.87
3/11/2021,56.88,3939.34,22.5
3/12/2021,55.8,3943.34,22.99
3/15/2021,52.64,3968.94,21.86
3/16/2021,52.64,3962.71,20.31
3/17/2021,50.36,3974.12,20.95
3/18/2021,53.16,3915.46,22.6
3/19/2021,51.08,3913.1,23.17
3/22/2021,47.76,3940.59,22.29
3/23/2021,50,3910.52,21.58
3/24/2021,50.44,3889.14,21.49
3/25/2021,48.92,3909.52,23.55
3/26/2021,46.96,3974.54,21.49
3/29/2021,48.04,3971.09,21.6
3/30/2021,45.96,3958.55,21.75
3/31/2021,45.6,3972.89,20.11
4/1/2021,44.2,4019.87,18.64
4/5/2021,43.08,4077.91,18.4
4/6/2021,43.08,4073.94,18.3
4/7/2021,41.96,4079.95,18.17
4/8/2021,41.32,4097.17,17.36
4/9/2021,41.24,4128.8,17.34
4/12/2021,40.64,4127.99,17.91
4/13/2021,40.36,4141.59,17.86
4/14/2021,41.24,4124.66,17.69
4/15/2021,39.88,4170.42,16.92
4/16/2021,39.24,4185.47,16.88
4/19/2021,40.68,4163.26,18.61
4/20/2021,41.6,4134.94,19.7
4/21/2021,39.36,4173.42,19.29
4/22/2021,41.8,4134.98,19.9
4/23/2021,40.17,4180.17,18.78
4/26/2021,39.82,4187.62,18.17
4/27/2021,39.01,4186.72,18.16
4/28/2021,38.87,4183.18,17.84
4/29/2021,38.57,4211.47,18.87
4/30/2021,40.16,4181.17,19.25
5/3/2021,38.75,4192.66,19.12
5/4/2021,40.21,4164.66,21.85
5/5/2021,39.19,4167.59,19.58
5/6/2021,38.95,4201.62,20.6
5/7/2021,36.74,4232.6,18.57
5/10/2021,38.35,4188.43,19.75
5/11/2021,41.21,4152.1,23.73
5/12/2021,48.4,4063.04,28.38
5/13/2021,43.75,4112.5,28.93
5/14/2021,38.6,4173.85,22.1
5/17/2021,39.87,4163.29,21.58
5/18/2021,40.45,4127.83,21.45
5/19/2021,42.35,4115.68,25.96
5/20/2021,39.99,4159.12,23.5
5/21/2021,39.48,4155.86,20.89
5/24/2021,37.73,4197.05,20.51
5/25/2021,37.7,4188.13,19.29
5/26/2021,35.9,4195.99,18.92
5/27/2021,34.16,4200.88,18.17
5/28/2021,34.7,4204.11,16.86
6/1/2021,35.53,4202.04,18.53
6/2/2021,34.61,4208.12,18.31
6/3/2021,35.24,4192.85,19.27
6/4/2021,33.39,4229.89,18.42
6/7/2021,32.79,4226.52,17.35
6/8/2021,33.14,4227.26,17.75
6/9/2021,33.68,4219.55,17.96
6/10/2021,31.73,4239.18,18.29
6/11/2021,30.82,4247.44,16.2
6/14/2021,31.11,4255.15,17.04
6/15/2021,31.79,4246.59,17.35
6/16/2021,32.07,4223.7,19.11
6/17/2021,31.89,4221.86,19.22
6/18/2021,34.69,4166.45,21.04
6/21/2021,32.54,4224.79,21.82
6/22/2021,30.87,4246.44,18.32
6/23/2021,30.29,4241.84,16.84
